word,type_id,comptype_id,altcomp,altsup,category,createdAt,updatedAt
sizzling,10,1,,,basic,now(),now()
skeletal,7,2,,,basic,now(),now()
sleek,13,1,,,basic,now(),now()
slender,7,1,,,basic,now(),now()
slim,7,1,,,basic,now(),now()
slow,9,1,,,basic,now(),now()
small,7,1,,,basic,now(),now()
smelly,8,1,,,basic,now(),now()
smooth,6,1,,,basic,now(),now()
snappy,9,1,,,basic,now(),now()
social,3,2,,,basic,now(),now()
soft,6,1,,,basic,now(),now()
some,1,4,,,basic,now(),now()
sour,5,1,,,basic,now(),now()
Spanish,18,2,,,basic,now(),now()
special,2,2,,,basic,now(),now()
speechless,4,2,,,basic,now(),now()
spherical,13,2,,,basic,now(),now()
spicy,5,1,,,basic,now(),now()
splendid,2,2,,,basic,now(),now()
square,13,1,,,basic,now(),now()
squiggly,13,1,,,basic,now(),now()
steaming,10,2,,,basic,now(),now()
steel,19,4,,,basic,now(),now()
straight,13,1,,,basic,now(),now()
strong,2,1,,,basic,now(),now()
sure,2,1,,,basic,now(),now()
svelte,7,1,,,basic,now(),now()
sweet,5,1,,,basic,now(),now()
sweltering,10,2,,,basic,now(),now()
swift,9,1,,,basic,now(),now()
swinging,20,1,,,basic,now(),now()
talkative,4,2,,,basic,now(),now()
tall,7,1,,,basic,now(),now()
tanned,16,2,,,basic,now(),now()
tasteless,5,2,,,basic,now(),now()
tasty,5,1,,,basic,now(),now()
teenage,11,4,,,basic,now(),now()
ten,1,4,,,basic,now(),now()
thin,7,1,,,basic,now(),now()
thousand,1,4,,,basic,now(),now()
three,1,4,,,basic,now(),now()
thunderous,4,2,,,basic,now(),now()
tiny,7,1,,,basic,now(),now()
traditional,3,2,,,basic,now(),now()
translucent,16,2,,,basic,now(),now()
transparent,16,2,,,basic,now(),now()
triangular,13,2,,,basic,now(),now()
trim,7,1,,,basic,now(),now()
tubby,7,1,,,basic,now(),now()
two,1,4,,,basic,now(),now()
ugly,2,1,,,basic,now(),now()
uncomfortable,2,2,,,basic,now(),now()
underweight,7,2,,,basic,now(),now()
valuable,2,2,,,basic,now(),now()
vast,7,1,,,basic,now(),now()
velvety,6,1,,,basic,now(),now()
vociferous,4,2,,,basic,now(),now()
warped,13,2,,,basic,now(),now()
wasteful,2,2,,,basic,now(),now()
watery,5,1,,,basic,now(),now()
wavy,13,1,,,basic,now(),now()
wee,7,1,,,basic,now(),now()
weighty,7,1,,,basic,now(),now()
wet,14,1,,,basic,now(),now()
whirlwind,9,2,,,basic,now(),now()
whispered,4,2,,,basic,now(),now()
white,16,1,,,basic,now(),now()
whole,13,2,,,basic,now(),now()
wide,7,1,,,basic,now(),now()
willowy,7,2,,,basic,now(),now()
winding,13,2,,,basic,now(),now()
wintry,10,1,,,basic,now(),now()
wiry,6,1,,,basic,now(),now()
wonderful,2,2,,,basic,now(),now()
wooden,19,2,,,basic,now(),now()
work,20,4,,,basic,now(),now()
worthy,2,1,,,basic,now(),now()
wrong,2,2,,,basic,now(),now()
yellowish,16,2,,,basic,now(),now()
young,11,1,,,basic,now(),now()
yellow,16,1,,,basic,now(),now()
youthful,11,2,,,basic,now(),now()
yummy,5,1,,,basic,now(),now()
zany,3,1,,,basic,now(),now()
zigzag,13,2,,,basic,now(),now()
zillion,1,4,,,basic,now(),now()
